Key,Type,English,French,Chinese,Spanish,Filipino,Vietnamese,Thai,Portuguese,Hindi,Swahili,Indonesian,Creole,Burmese
email,main,Email,E-mail,电子邮件,Correo electrónico,Email,Email,อีเมล,E-mail,ईमेल,Barua pepe,E-mail,Imèl,အီးမေးလ်
password,main,Password,Mot de passe,密码,Contraseña,Password,Mật khẩu,รหัสผ่าน,Senha,पासवर्ड,Nenosiri,Kata sandi,Modpas,စကားဝှက်
first_name,main,First Name,Prénom,名字,Nombre,Pangalan,Tên,ชื่อ,Nome,पहला नाम,Jina la kwanza,Nama depan,Premye Non,နာမည်
last_name,main,Last Name,Nom,姓氏,Apellido,Apelyido,Họ,นามสกุล,Sobrenome,अंतिम नाम,Jina la mwisho,Nama Belakang,Siyati,မျိုးနွယ်အမည်
farm_name,main,Farm Name,Nom de la ferme,农场名称,Nombre de la granja,Pangalan ng Farm,Tên trang trại,ชื่อฟาร์ม,Nome da Fazenda,फार्म का नाम,Jina la Shamba,Nama Peternakan,Non Farm,ခြံအမည်
country,main,Country,Pays,国家,País,Bansa,Quốc gia,ประเทศ,País,देश,Nchi,Negara,Peyi,တိုင်းပြည်
select_language,main,Select Language,Choisir la langue,选择语言,Seleccionar idioma,Pumili ng Wika,Chọn ngôn ngữ,เลือกภาษา,Selecionar Idioma,भाषा चुनें,Chagua Lugha,Pilih Bahasa,Chwazi Lang,ဘာသာစကားကို ရွေးပါ။
forgot_password,main,Forgot Password?,Mot de passe oublié ?,忘记密码？,¿Olvidaste tu contraseña?,Nakalimutan ang Password?,Quên mật khẩu?,ลืมรหัสผ่าน?,Esqueceu a senha?,पासवर्ड भूल गए?,Umesahau Nenosiri?,Lupa Kata Sandi?,Ou Bliye Modpas?,စကားဝှက်မေ့နေပါသလား?
search_country,main,Search country...,Chercher un pays...,搜索国家...,Buscar país...,Maghanap ng bansa...,Tìm kiếm quốc gia...,ค้นหาประเทศ...,Buscar país...,देश खोजें...,Tafuta nchi...,Telusuri negara...,Chèche peyi...,နိုင်ငံကိုရှာပါ...
keep_typing,main,Keep typing to find your country...,Continuez à taper...,继续输入...,Sigue escribiendo...,Ipagpatuloy ang pag-type...,Tiếp tục nhập...,พิมพ์ต่อเพื่อค้นหา...,Continue digitando...,खोजने के लिए टाइप करते रहें...,Endelea kuandika ili kutafuta nchi yako...,Teruslah mengetik untuk menemukan negara Anda...,Kontinye ekri pou w jwenn peyi w...,သင့်နိုင်ငံကို ရှာရန် စာရိုက်ပါ...
create_account_btn,main,Create Account,Créer un compte,创建账户,Crear cuenta,Gumawa ng Account,Tạo tài khoản,สร้างบัญชี,Criar Conta,खाता बनाएँ,Fungua Akaunti,Buat Akun,Kreye Kont,အကောင့်ပြုလုပ်ပါ
login_btn,main,Login,Connexion,登录,Iniciar sesión,Mag-login,Đăng nhập,เข้าสู่ระบบ,Login,लॉगिन,Ingia,Login,Konekte,လော့ဂ်အင်
no_account,main,New Here? Click to Sign Up,Nouveau ici ? Cliquez pour vous inscrire,新用户？点击注册,¿Eres nuevo? Haz clic para registrarte,Bago ka ba? Mag-click para mag-sign up,Bạn mới đến? Nhấp để đăng ký,ใหม่ที่นี่? คลิกเพื่อลงทะเบียน,Novo aqui? Clique para se inscrever,यहाँ नए हैं? साइन अप करने के लिए क्लिक करें,Mpya Hapa? Bofya ili Kujisajili,Baru Disini? Klik untuk Mendaftar,Nouvo isit la? Klike pou w Enskri,ဒီမှာ အသစ်လား။ အကောင့်ဖွင့်ရန် နှိပ်ပါ။
have_account,main,Already have an account? Login,Déjà un compte ? Connexion,已有账户？登录,¿Ya tienes cuenta? Inicia sesión,May account na? Mag-login,Đã có tài khoản? Đăng nhập,มีบัญชีอยู่แล้ว? เข้าสู่ระบบ,Já tem uma conta? Login,पहले से खाता है? लॉगिन करें,"Je, tayari una akaunti? Ingia",Sudah punya akun? Login,Ou deja gen yon kont? Konekte,အကောင့်ရှိပြီးသားလား။ လော့ဂ်အင်
confirm_password,main,Confirm Password,Confirmer le mot de passe,确认密码,Confirmar contraseña,Kumpirmahin ang Password,Xác nhận mật khẩu,ยืนยันรหัสผ่าน,Confirmar Senha,पासवर्ड की पुष्टि करें,Thibitisha Nenosiri,Konfirmasi Kata Sandi,Konfime Modpas,စကားဝှက်အတည်ပြုခြင်း
reset_password_title,main,Reset Password,Réinitialiser le mot de passe,重置密码,Restablecer contraseña,I-reset ang Password,Đặt lại mật khẩu,รีเซ็ตรหัสผ่าน,Redefinir Senha,पासवर्ड रीसेट करें,Weka upya Nenosiri,Atur Ulang Kata Sandi,Reyajiste Modpas,စကားဝှက်ကို ပြန်လည်သတ်မှတ်ပါ။
reset_password_msg,main,Enter your email to receive a reset link.,Entrez votre e-mail pour recevoir un lien de réinitialisation.,输入您的电子邮件以接收重置链接。,Ingrese su correo electrónico para recibir un enlace de restablecimiento.,Ipasok ang iyong email para makatanggap ng reset link.,Nhập email của bạn để nhận liên kết đặt lại.,กรอกอีเมลของคุณเพื่อรับลิงก์รีเซ็ต,Digite seu e-mail para receber um link de redefinição.,रीसेट लिंक प्राप्त करने के लिए अपना ईमेल दर्ज करें।,Weka barua pepe yako ili kupokea kiungo cha kuweka upya.,Masukkan email Anda untuk menerima tautan reset.,Antre imel ou a pou resevwa yon lyen reset.,ပြန်လည်သတ်မှတ်သည့်လင့်ခ်ကို လက်ခံရရှိရန် သင့်အီးမေးလ်ကို ထည့်သွင်းပါ။
reset_link_sent,main,Reset link sent!,Lien de réinitialisation envoyé !,重置链接已发送！,¡Enlace de restablecimiento enviado!,Reset link naipadala na!,Đã gửi liên kết đặt lại!,ส่งลิงก์รีเซ็ตแล้ว!,Link de redefinição enviado!,रीसेट लिंक भेज दिया गया है!,Kiungo cha kuweka upya kimetumwa!,Setel ulang tautan terkirim!,Reset lyen voye!,ပေးပို့ထားသော လင့်ခ်ကို ပြန်လည်သတ်မှတ်ပါ။
send_btn,main,Send,Envoyer,发送,Enviar,Ipadala,Gửi,ส่ง,Enviar,भेजें,Tuma,Mengirim,Voye,ပို့ပါ။
close_btn,main,Close,Fermer,关闭,Cerrar,Isara,Đóng,ปิด,Fechar,बंद करें,Funga,Menutup,Fèmen,ပိတ်လိုက်
fill_all_fields,main,Please fill in all fields,Veuillez remplir tous les champs,请填写所有字段,Por favor complete todos los campos,Mangyaring punan ang lahat ng field,Vui lòng điền đầy đủ các trường,กรุณากรอกข้อมูลให้ครบทุกช่อง,"Por favor, preencha todos os campos",कृपया सभी फ़ील्ड भरें,Tafadhali jaza sehemu zote,Silakan isi semua kolom,Tanpri ranpli tout jaden yo,ကွက်လပ်အားလုံးကို ဖြည့်ပါ။
passwords_mismatch,main,Passwords do not match,Les mots de passe ne correspondent pas,密码不匹配,Las contraseñas no coinciden,Hindi tugma ang mga password,Mật khẩu không khớp,รหัสผ่านไม่ตรงกัน,As senhas não coincidem,पासवर्ड मेल नहीं खाते,Manenosiri hayalingani,Kata sandi tidak cocok,Modpas pa koresponn,စကားဝှက်များ မတိုက်ဆိုင်ပါ။
password_short,main,Password must be at least 6 characters,Le mot de passe doit comporter au moins 6 caractères,密码必须至少为 6 个字符,La contraseña debe tener al menos 6 caracteres,Ang password ay dapat hindi bababa sa 6 na karakter,Mật khẩu phải có ít nhất 6 ký tự,รหัสผ่านต้องมีอย่างน้อย 6 ตัวอักษร,A senha deve ter pelo menos 6 caracteres,पासवर्ड कम से कम 6 अक्षरों का होना चाहिए,Nenosiri lazima liwe na angalau vibambo 6,Kata sandi minimal harus 6 karakter,Modpas dwe gen omwen 6 karaktè,စကားဝှက်သည် အနည်းဆုံး အက္ခရာ 6 လုံး ရှိရမည်။
login_failed,main,Login failed,Échec de la connexion,登录失败,Error de inicio de sesión,Bigo ang pag-login,Đăng nhập thất bại,เข้าสู่ระบบล้มเหลว,Falha no login,लॉगिन विफल रहा,Kuingia kumeshindwa,Gagal masuk,Login echwe,လော့ဂ်အင်မအောင်မြင်ပါ
signup_failed,main,Signup failed,Échec de l'inscription,注册失败,Error de registro,Bigo ang pag-sign up,Đăng ký thất bại,ลงทะเบียนล้มเหลว,Falha no cadastro,साइनअप विफल रहा,Kujisajili kumeshindwa,Pendaftaran gagal,Enskripsyon echwe,စာရင်းသွင်းမှု မအောင်မြင်ပါ။
profile_save_failed,main,Account created but profile saving failed,Compte créé mais l'enregistrement du profil a échoué,账户已创建但配置文件保存失败,Cuenta creada pero falló el guardado del perfil,Gumawa ng account pero bigo ang pag-save ng profile,Đã tạo tài khoản nhưng lưu hồ sơ thất bại,สร้างบัญชีสำเร็จแต่บันทึกโปรไฟล์ล้มเหลว,"Conta criada, mas falha ao salvar perfil",खाता बन गया लेकिन प्रोफ़ाइल सहेजने में विफल रहा,Akaunti imeundwa lakini uhifadhi wa wasifu umeshindwa,Akun dibuat tetapi penyimpanan profil gagal,Kont kreye men ekonomize pwofil la echwe,အကောင့်ဖန်တီးထားသော်လည်း ပရိုဖိုင်သိမ်းဆည်းခြင်း မအောင်မြင်ပါ။
home,main,Home,Accueil,首页,Inicio,Home,Trang chủ,หน้าแรก,Início,होम,Nyumbani,Rumah,Lakay,အိမ်
account,main,Account,Compte,账户,Cuenta,Account,Tài khoản,บัญชี,Conta,खाता,Akaunti,Akun,Kont,အကောင့်
edit_profile,main,Edit Profile,Modifier le profil,编辑资料,Editar perfil,I-edit ang Profile,Chỉnh sửa hồ sơ,แก้ไขโปรไฟล์,Editar Perfil,प्रोफ़ाइल संपादित करें,Badilisha Wasifu,Sunting Profil,Edit Profile,Profile ကို တည်းဖြတ်ပါ။
edit_profile_subtitle,main,Update your farm and personal details,Mettre à jour les détails de la ferme,更新您的农场和个人详情,Actualice los detalles de su granja,I-update ang iyong farm at personal na detalye,Cập nhật thông tin trang trại và cá nhân,อัปเดตรายละเอียดฟาร์มและข้อมูลส่วนตัว,Atualize os detalhes da fazenda,अपने फार्म और व्यक्तिगत विवरण अपडेट करें,Sasisha shamba lako na maelezo ya kibinafsi,Perbarui data pertanian dan pribadi Anda,Mete ajou fèm ou ak detay pèsonèl ou,သင့်လယ်ယာနှင့် ကိုယ်ရေးကိုယ်တာအသေးစိတ်အချက်အလက်များကို အပ်ဒိတ်လုပ်ပါ။
preferences,main,Preferences,Préférences,偏好设置,Preferencias,Mga Kagustuhan,Sở thích,การตั้งค่าที่ชอบ,Preferências,प्राथमिकताएँ,Mapendeleo,Preferensi,Preferans,နှစ်သက်ရာ
push_notifications,main,Push Notifications,Notifications,推送通知,Notificaciones,Mga Push Notification,Thông báo,การแจ้งเตือน,Notificações,पुश नोटिफिकेशन,Arifa za Push,Pemberitahuan Dorong,Pouse Notifikasyon,အကြောင်းကြားချက်များကို တွန်းပါ။
push_notifications_subtitle,main,Receive alerts for tasks and reports,Recevoir des alertes,接收任务和报告提醒,Recibir alertas,Makatanggap ng mga alerto,Nhận cảnh báo,รับการแจ้งเตือนสำหรับงานและรายงาน,Receber alertas,अलर्ट प्राप्त करें,Pokea arifa za kazi na ripoti,Terima peringatan untuk tugas dan laporan,Resevwa alèt pou travay ak rapò,လုပ်ဆောင်စရာများနှင့် အစီရင်ခံစာများအတွက် သတိပေးချက်များကို လက်ခံပါ။
notif_upcoming,main,Upcoming Activity,Activité à venir,即将进行的活动,Actividad próxima,Darating na Aktibidad,Hoạt động sắp tới,กิจกรรมที่กำลังจะมาถึง,Atividade futura,आगामी गतिविधि,Shughuli Ijayo,Aktivitas Mendatang,Aktivite kap vini,လာမည့် လုပ်ဆောင်ချက်
notif_due_today,main,Activity Due Today,Activité prévue aujourd'hui,今日到期活动,Actividad para hoy,Aktibidad na Nakatakda Ngayon,Hoạt động đến hạn hôm nay,กิจกรรมที่ครบกำหนดวันนี้,Atividade vencendo hoje,गतिविधि आज देय है,Shughuli Inayostahili Leo,Aktivitas Karena Hari Ini,Aktivite pou jodia,ယနေ့ လှုပ်ရှားမှု
notif_overdue,main,PAST-DUE Activity,Activité EN RETARD,逾期活动,Actividad ATRASADA,LAMPAS NA AKTIBIDAD,Hoạt động QUÁ HẠN,กิจกรรมที่เกินกำหนด,Atividade ATRASADA,विलंबित गतिविधि,Shughuli ya PAST-DUE,Aktivitas MASA LALU,Aktivite PAST-DUE,အတိတ်ကာလ လုပ်ဆောင်ချက်
notif_msg_in_2_days,main,Reminder: %s is in 2 days.,Rappel : %s est dans 2 jours.,提醒：%s 将在 2 天后开始。,Recordatorio: %s es en 2 días.,Paalala: Ang %s ay sa loob ng 2 araw.,Nhắc nhở: %s sẽ diễn ra sau 2 ngày.,แจ้งเตือน: %s จะครบกำหนดในอีก 2 วัน,Lembrete: %s é em 2 dias.,अनुस्मारक: %s 2 दिनों में है।,Kikumbusho: %s ni baada ya siku 2.,Pengingat: %s dalam 2 hari.,Rapèl: %s nan 2 jou.,သတိပေးချက်- %s သည် 2 ရက်အတွင်းဖြစ်သည်။
notif_msg_tomorrow,main,Reminder: %s is tomorrow.,Rappel : %s est pour demain.,提醒：%s 将在明天开始。,Recordatorio: %s es mañana.,Paalala: Ang %s ay bukas.,Nhắc nhở: %s là ngày mai.,แจ้งเตือน: %s ครบกำหนดพรุ่งนี้,Lembrete: %s é amanhã.,अनुस्मारक: %s कल है।,Kikumbusho: %s ni kesho.,Pengingat: %s adalah besok.,Rapèl: %s se demen.,သတိပေးချက်- %s သည် မနက်ဖြန်ဖြစ်သည်။
notif_msg_today,main,Reminder: %s is scheduled for today!,Rappel : %s est prévu pour aujourd'hui !,提醒：%s 计划在今天进行！,Recordatorio: ¡%s está programado para hoy!,Paalala: Ang %s ay nakatakda ngayong araw!,Nhắc nhở: %s được lên lịch cho hôm nay!,แจ้งเตือน: %s มีกำหนดการในวันนี้!,Lembrete: %s está programada para hoje!,अनुस्मारक: %s आज के लिए निर्धारित है!,Kikumbusho: %s imeratibiwa kuwa leo!,Pengingat: %s dijadwalkan hari ini!,Rapèl: %s pwograme pou jodi a!,သတိပေးချက်- %s ကို ယနေ့အတွက် စီစဉ်ထားပါသည်။
notif_msg_yesterday,main,Urgent: %s was due yesterday!,Urgent : %s était dû hier !,紧急：%s 昨天已到期！,Urgente: ¡%s venció ayer!,Pangmadalian: Ang %s ay dapat natapos kahapon!,Khẩn cấp: %s đã đến hạn hôm qua!,เร่งด่วน: %s เลยกำหนดเมื่อวานนี้!,Urgente: %s venceu ontem!,तत्काल: %s कल देय था!,Haraka: %s ililipwa jana!,Mendesak: %s sudah jatuh tempo kemarin!,Ijan: %s te dwe yè!,အရေးတကြီး- %s သည် ယမန်နေ့က ပေးဆောင်ရသည်။
notif_msg_overdue,main,Urgent: %s is now 2 days overdue!,Urgent : %s a maintenant 2 jours de retard !,紧急：%s 已逾期 2 天！,Urgente: ¡%s tiene 2 días de retraso!,Pangmadalian: Ang %s ay lampas na ng 2 araw!,Khẩn cấp: %s đã quá hạn 2 ngày!,เร่งด่วน: %s เลยกำหนดมา 2 วันแล้ว!,Urgente: %s está com 2 dias de atraso!,तत्काल: %s अब 2 दिन विलंबित है!,Haraka: %s sasa imechelewa kwa siku 2!,Penting: %s sekarang sudah lewat 2 hari!,Ijan: %s gen 2 jou anreta kounye a!,အရေးပေါ်- %s သည် ယခု 2 ရက် နောက်ကျနေပြီဖြစ်သည်။
notif_summary,main,You have %d farm activities to check.,Vous avez %d activités de ferme à vérifier.,您有 %d 项农场活动需要检查。,Tienes %d actividades de la granja para revisar.,Mayroon kang %d aktibidad sa farm na dapat suriin.,Bạn có %d hoạt động nông trại cần kiểm tra.,คุณมีกิจกรรมในฟาร์ม %d รายการที่ต้องตรวจสอบ,Você tem %d atividades da fazenda para verificar.,आपके पास जाँचने के लिए %d फ़ार्म गतिविधियाँ हैं।,Una shughuli %d za shamba za kuangalia.,Anda memiliki %d aktivitas pertanian untuk diperiksa.,Ou gen %d aktivite fèm pou tcheke.,သင့်တွင် စစ်ဆေးရန် လယ်ယာလုပ်ငန်း %d ခုရှိသည်။
dark_mode,main,Dark Mode,Mode sombre,深色模式,Modo oscuro,Dark Mode,Chế độ tối,โหมดมืด,Modo Escuro,डार्क मोड,Hali ya Giza,Mode Gelap,Mòd nwa,အမှောင်မုဒ်
dark_mode_subtitle,main,Toggle dark theme for the app,Basculer le thème sombre,切换应用深色主题,Cambiar a tema oscuro,I-toggle ang dark theme,Chuyển đổi giao diện tối,สลับธีมมืด,Alternar tema escuro,डार्क थीम बदलें,Geuza mandhari meusi kwa programu,Alihkan tema gelap untuk aplikasi,Deklanche tèm nwa pou aplikasyon an,အက်ပ်အတွက် အမှောင်အပြင်အဆင်ကို ပြောင်းပါ။
weaning,main,Weaning,Sevrage,断奶,Destete,Pawalay,Cai sữa,การหย่านม,Desmame,दूध छुड़ाना,Kuachisha ziwa,Menyapih,Sevre,နို့ဖြတ်သည်။
farrowing,main,Farrowing,Mise bas,分娩,Parto,Pag-anak,Đẻ,การคลอด,Parto,बच्चे देना,Farrowing,Farrowing,Farrowing,ထွားသည်။
iron_injection,main,Iron Injection,Injection de fer,铁剂注射,Inyección de hierro,Iniksyon ng Bakal,Tiêm sắt,การฉีดธาตุเหล็ก,Injeção de Ferro,आयरन इंजेक्शन,Sindano ya Chuma,Injeksi Besi,Piki fè,သံထိုးဆေး
porker_status,main,Porker's Status,Statut des porcs,肉猪状态,Estado del cerdo,Katayuan ng Porker,Trạng thái heo thịt,สถานะสุกรขุน,Status do Suíno,पोर्कर स्थिति,Hali ya Porker,Status Babi,Estati Porker a,ဝက်သား၏ အဆင့်အတန်း
breeder_status,main,Breeder's Status,Statut des reproducteurs,种猪状态,Estado del criador,Katayuan ng Breeder,Trạng thái heo giống,สถานะสุกรพันธุ์,Status do Reprodutor,ब्रीडर स्थिति,Hali ya Mfugaji,Status Peternak,Estati Breeder a,မွေးမြူသူ၏အခြေအနေ
terminology_classification,main,Terminology & Classification,Terminologie et Classification,术语与分类,Terminología y clasificación,Terminolohiya at Klasipikasyon,Thuật ngữ & Phân loại,คำศัพท์และการจัดประเภท,Terminologia e Classificação,शब्दावली और वर्गीकरण,Istilahi na Uainishaji,Terminologi & Klasifikasi,Terminoloji & Klasifikasyon,ဝေါဟာရနှင့် အမျိုးအစားခွဲခြားခြင်း။
currency,main,Currency,Devise,货币,Moneda,Pera,Tiền tệ,สกุลเงิน,Moeda,मुद्रा,Sarafu,Mata uang,Lajan,ငွေကြေး
data_management,main,Data Management,Gestion des données,数据管理,Gestión de datos,Pamamahala ng Datos,Quản lý dữ liệu,การจัดการข้อมูล,Gestão de Dados,डेटा प्रबंधन,Usimamizi wa Data,Manajemen Data,Jesyon Done,ဒေတာစီမံခန့်ခွဲမှု
about,main,About,À propos,关于,Acerca de,Tungkol sa,Giới thiệu,เกี่ยวกับ,Sobre,के बारे में,Kuhusu,Tentang,Konsènan,အကြောင်း
terms_of_service,main,Terms of Service,Conditions d'utilisation,服务条款,Términos de servicio,Mga Tuntunin ng Serbisyo,Điều khoản dịch vụ,ข้อกำหนดการให้บริการ,Termos de Serviço,सेवा की शर्तें,Masharti ya Huduma,Ketentuan Layanan,Regleman Sèvis,ဝန်ဆောင်မှုစည်းမျဉ်းများ
privacy_policy,main,Privacy Policy,Politique de confidentialité,隐私政策,Política de privacidad,Patakaran sa Privacy,Chính sách bảo mật,นโยบายความเป็นส่วนตัว,Política de Privacidade,गोपनीयता नीति,Sera ya Faragha,Kebijakan Privasi,Règleman sou enfòmasyon prive,ကိုယ်ရေးအချက်အလက်မူဝါဒ
wean_at,main,Wean piglets at,Sevrage à,断奶时间,Destetar lechones a los,Iwalay ang mga biik sa,Cai sữa heo con lúc,หย่านมลูกสุกรที่อายุ,Desmamar leitões aos,पिगलेट्स का दूध छुड़ाएं,Waachishe watoto wa nguruwe saa,Menyapih anak babi di,Sevre porsele nan,Wean piglets at
days,main,days,jours,天,días,araw,ngày,วัน,dias,दिन,siku,hari,jou,နေ့ရက်များ
sows_farrow_at,main,Sows farrow at,Mise bas à,母猪分娩时间,Cerdas paren a los,Ang mga inahin ay manganganak sa,Nái đẻ lúc,แม่สุกรคลอดที่อายุ,Porcas parem aos,सूअर बच्चे देते हैं,Hupanda farrow saa,Menabur jauh di,Simen farrow nan,လယ်ကွင်းမှာ ကြဲတယ်။
iron_administered_on,main,Iron administered on day,Fer administré le jour,补铁时间（出生后第几天）,Hierro administrado el día,Bakal na ibinigay sa araw,Tiêm sắt vào ngày,ฉีดธาตุเหล็กในวันที่,Ferro administrado no dia,आयरन दिया गया दिन,Iron kusimamiwa siku,Zat besi diberikan pada hari itu,Iron administre nan jounen an,သံဓာတ်ကို နေ့စဥ်တိုက်သည်။
after_birth,main,after birth,après la naissance,出生后,después del nacimiento,pagkatapos ipanganak,sau khi sinh,หลังคลอด,após o nascimento,जन्म के बाद,baada ya kuzaliwa,setelah lahir,apre nesans,မွေးပြီးနောက်
and,main,and,et,和,y,at,và,และ,e,और,na,Dan,epi,နှင့်
age_weeks,main,Age (weeks),Âge (semaines),年龄（周）,Edad (semanas),Edad (linggo),Tuổi (tuần),อายุ (สัปดาห์),Idade (semanas),आयु (सप्ताह),Umri (wiki),Usia (minggu),Laj (semèn),အသက် (အပတ်)
