Key,English,Translation
months_abbr,mo,
age,Age,
tag,Tag,
back,Back,
archived_pigs_upper,ARCHIVED PIGS,
filter,Filter,
select_date,Select Date,
feed_inventory,FEED INVENTORY,
inventory_status,Inventory Status,
add_to_stock,Add to Stock,
ingredient,Ingredient,
actions,Actions,
no_ingredients_selected,No ingredients selected. Click 'Add to Stock' to select ingredients.,
update_inventory,Update Inventory,
remove_from_list,Remove from list,
run_formulator,Run Formulator,
feed_calculator,Feed Calculator,
feed_formulator,Feed Formulator,
export_feed_data,Export Feed Data,
select_range,Select Range:,
options,Options:,
export_visible_only,Export Visible Ingredients Only,
current_month,Current Month,
last_3_months,Last 3 Months,
custom,Custom,
from_date,From Date,
to_date,To Date,
export,Export,
animal_inventory,Animal Inventory,
calculation_period,Calculation Period,
verify_animal_counts,Verify animal counts to calculate accurate feed requirements.,
duration_projections,Duration of Projections,
how_many_days,How many days should this calculation cover?,
number_of_days,Number of Days,
next,Next,
generate_report,Generate Report,
previous,Previous,
select_target_stage,1. Select Target Growth Stage:,
select_available_ingredients,2. Select Available Ingredients:,
growth_stage,Growth Stage,
automatic_additives_note,"Note: 1% Mycotoxin Binder, 0.5% Salt, and 1% Premix will be automatically added.",
select_ingredients_for_inventory,Select Ingredients for Inventory,
update_label,Update %s,
restock,Restock (+),
use,Use (-),
amount_kg,Amount (kg),
new_cost_per_kg,New Cost per kg,
done,Done,
new_feed_ingredient,New Feed Ingredient,
ingredient_name,Ingredient Name,
crude_protein_pct,Crude Protein (%),
me_kcal_kg,ME (kcal/kg),
crude_fiber_pct,Crude Fiber (%),
calcium_pct,Calcium (%),
phosphorus_pct,Phosphorus (%),
salt_pct,Salt (%),
lysine_pct,Lysine (%),
methionine_pct,Methionine (%),
save_ingredient,Save Ingredient,
formulation_results,FORMULATION RESULTS,
formula_incomplete,Formula Incomplete (%s%%): The selected ingredients cannot produce a full formula without exceeding maximum inclusion levels.,
best_mix_formulation,Best-Mix Formulation,
recalculate_formulation,Recalculate Formulation,
nutritional_comparison,Nutritional Comparison (%s),
nutrient,Nutrient,
target,Target,
actual,Actual,
disclaimer_feed,DISCLAIMER: This formulation is based on average nutritional values. Consult a veterinary nutritionist for precise feeding regimes tailored to your specific conditions.,
no_formulation_results,No formulation results available.,
export_formulation_pdf,Export Formulation PDF,
calculation_results,CALCULATION RESULTS,
daily_requirements,Daily Requirements,
feed_requirements_days,Feed Requirements (%d Days),
total_daily_requirement,Total Daily Requirement,
daily_total,Daily Total,
total_for_days,Total for %d Days,
no_calculation_results,No calculation results available.,
export_requirements_pdf,Export Requirements PDF,
protein,Protein,
energy,Energy,
vitamins_minerals_salt,"Vitamins, Minerals & Salt",
other,Other,
feed_requirements_report,Feed Requirements Report,
generated_on,Generated on: %s,
daily,Daily,
total,TOTAL,
disclaimer_vet,Disclaimer: Consult a Vet before use,
feed_formulation_report,Feed Formulation Report,
ingredients_composition,Ingredients Composition,
percentage_pct,Percentage (%),
qty_batch_size,Qty (based on Batch Size),
nutritional_analysis,Nutritional Analysis,
status,Status,
deficient,DEFICIENT,
ok_status,OK,
feed_inventory_report,Feed Inventory Report,
cost_per_kg,Cost/kg,
target_requirements_not_found,Target stage requirements not found.,
select_at_least_one,Select at least one ingredient for formulation.,
formulation_failed,Formulation failed: %s,
overview,Overview,
history,History,
boar,Boar,
gilt,Gilt,
sow,Sow,
boars,Boars,
gilts,Gilts,
sows,Sows,
maize,Maize,
maize_bran,Maize bran,
soybean_meal,Soybean meal,
fish_meal,Fish meal,
rice_bran,Rice bran,
wheat_bran,Wheat bran,
common_salt,Common salt,
vitamin_premix,Vitamin Premix,
mycotoxin_binder,Mycotoxin Binder,
oyster_shell,Oyster Shell,
cassava_dehydrated,Cassava (dehydrated),
barrow,Barrow,
pregnant,Pregnant,
lactating,Lactating,
no_history_records,No history records found.,
delete_pig_title,Delete Pig,
delete_pig_confirm,Are you sure you want to delete this pig? This action cannot be undone.,
delete_record_title,Delete Activity,
delete_record_confirm,Are you sure you want to delete this recorded activity? This action cannot be undone.,
archive_pig_title,Archive Pig,
reason_for_archiving,Reason for archiving:,
specify_reason,Specify Reason,
edit_activity,Edit Activity,
log_activity,Log Activity,
activity_date,Activity Date,
target_animal,Target Animal,
activity_type,Activity Type,
culled,Culled,
sold,Sold,
died,Died,
edit,Edit,
save,Save,
delete,Delete,
archive,Archive,
update,Update,
medication,Medication,
cost,Cost,
edit_pig_title,Edit Pig,
not_specified,Not specified,
vaccination,Vaccination,
deworming,Deworming,
weight_check,Weight Check,
culling,Culling,
teeth_clipping,Teeth Clipping,
tail_docking,Tail Docking,
heat_detection,Heat Detection,
breeding_mating,Breeding/Mating,
pregnancy_check,Pregnancy Check,
schedule_preg_check,Schedule Pregnancy Check (21 days),
vaccine_name,Vaccine Name,
medication_name,Medication Name,
dosage,Dosage,
new_location,New Location,
reason_sold_disease,"Reason (e.g. Sold, Disease)",
sale_price_currency,Sale Price (%s),
track_heat_remind,Track Heat (Remind in 21 days),
preg_confirmed_farrow,Pregnancy Confirmed (Schedule Farrowing),
activity_name,Activity Name,
notes_details,Notes/Details,
castration,Castration,
log,Log,
log_activity_title,Log %s,
save_activity,Save Activity,
log_activity_msg,Log activity completion and any notes above.,
edit_activity_title,Edit Activity,
actual_farrowing_date,Actual Farrowing Date,
expected_farrowing_date,Expected Farrowing Date: %s,
pregnancy_result,Pregnancy Result,
successful,Successful,
failed,Failed,
choose_activity_to_execute,Choose Activity to Execute/Schedule,
heat_detection_desc,Monitor sows for breeding readiness,
breeding_mating_desc,Log successful mating sessions,
confirm_pregnancy_desc,Record ultrasound or physical checks,
farrowing_desc,Log new litters and birth details,
weaning_desc,Record when piglets leave the sow,
castration_desc,Log castration of male piglets,
teeth_clipping_desc,Clip needle teeth of newborn piglets,
tail_docking_desc,Dock tails to prevent biting and infection,
deworming_desc,Administer deworming medication,
iron_injection_desc,Give iron shots to prevent anemia,
vaccination_desc,Log routine or emergency shots,
medication_desc,Track treatments for sick animals,
weight_check_desc,Log growth progress,
culling_desc,Record removal from herd,
custom_activity_desc,Log any other farm activity or observation,
mated_sow_with_boar,Mated: Sow %s with Boar %s,
farrowed_males_females,"Farrowed: %s Males, %s Females",
weight_updated_to,Weight updated to %skg,
weaned_and_moved,Weaned and moved to location: %s,
reason_label,Reason: %s,
sold_for_amount,Sold for: %s %s,
pregnancy_confirmed,Pregnancy Confirmed,
pregnancy_check_failed,Pregnancy Check Failed,
scheduling_preg_check_for,Scheduling pregnancy check for %s,
castrated_successfully,Castrated successfully.,
medication_vaccine_dosage,"Medication/Vaccine: %s, Dosage: %s",
affected_animals,Affected Animals,
edit_activity_desc,Edit the details of this activity,
heat_detected,Heat,
no_heat,No Heat,
mating_successful,Mating Successful,
mating_failed,Mating Failed,
male_piglets,Male Piglets,
female_piglets,Female Piglets,
total_sale_price,Total Sale Price (%s),
select_animals_to_complete,Select Animals to Complete,
select_outcome,Select Outcome,
male_tag_numbers,Male Tag Numbers (comma separated),
female_tag_numbers,Female Tag Numbers (comma separated),
tag_help_text,"e.g. T001, T002",
select_sow,Select Sow,
sow_tag_help,"Sow Tag (Sow, Gilt, Finisher)",
select_boar,Select Boar,
boar_tag_label,Boar Tag,
select_pigs,Select Pigs,
pigs_selected,%d pigs selected,
target_pigs,Target Pig(s),
more,More...,
enter_new_locations,Enter New Pen Locations,
location_for,Location for %s,
enter_weights,Enter Weights (kg),
weight_for,Weight for %s,
schedule_second_iron,Schedule 2nd Iron Injection (7 days),
culling_details,Culling Details,
reason,Reason,
reason_natural,Natural Causes,
reason_disease,Disease,
reason_sold,Sold,
financials_upper,FINANCIALS,
add_entry,Add Entry,
financial_summary,Financial Summary,
income,Income,
expense,Expense,
net_profit,Net Profit,
delete_transaction,Delete Transaction,
delete_transaction_confirm,Are you sure you want to delete this %s transaction for %s?,
animal_tag,Animal: %s,
add_transaction,Add Transaction,
transaction_date,Transaction Date,
type,Type,
category,Category,
custom_category_name,Custom Category Name,
select_pigs_sold,Select Pigs being Sold (will be Archived),
pigs_selected_count,%d Pigs Selected,
amount,Amount,
description,Description,
all_transactions,All Transactions,
income_only,Income Only,
expenses_only,Expenses Only,
cat_sale,Sale,
cat_other,Other,
cat_feed,Feed,
cat_medicine,Medicine,
cat_equipment,Equipment,
cat_labor,Labor,
human_resources_upper,HUMAN RESOURCES,
hr_report,Human Resources Report,
staff_details,Staff Details,
monthly_payroll,Monthly Payroll,
staff_name,Staff Name,
role,Role,
join_date,Join Date,
payroll_history,Payroll History,
category_label,Category,
total_payments_period,Total Payments in Selected Period: %s,
export_hr_report,Export HR Report,
all_records,All Records,
select_date_range,Select Date Range,
from_date_label,From Date,
to_date_label,To Date,
generate_pdf,Generate PDF,
add_employee,Add Employee,
no_staff_found,No staff members found. Add your first employee!,
total_staff,Total Staff,
full_name,Full Name,
role_hint,"Role (e.g., Farm Manager)",
phone_number,Phone Number,
allow_app_access,Allow App Access,
staff_email,Staff Email,
invitation_note,An invitation will be sent to this email to set up their password.,
add_staff_member,Add Staff Member,
edit_staff_member,Edit Staff Member,
delete_staff_member,Delete Staff Member,
delete_staff_confirm,Are you sure you want to remove %s from your staff records?,
log_salary_payment,Log Salary Payment,
payment_details_for,Payment details for %s,
salary_amount_symbol,Salary Amount (%s),
month,Month,
year,Year,
log_payment_btn,Log Payment,
january,January,
february,February,
march,March,
april,April,
may,May,
june,June,
july,July,
august,August,
september,September,
october,October,
november,November,
december,December,
market_coming_soon,Market Coming Soon!,
market_suggestion_desc,We are building a comprehensive marketplace for pig farmers. Help us expand by suggesting a service provider near you!,
suggest_provider,"Suggest Vendor, Buyer or Vet",
market_vendors,Verified Vendors,
market_buyers,Pork Buyers & Abattoirs,
market_vets,Veterinary Services,
provider_name,Provider Name,
service_type,Service Type,
contact_number,Contact Number,
email_address,Email Address,
city_town,City/Town,
submit_suggestion,Submit Suggestion,
suggestion_success_title,Success,
suggestion_success_msg,Thank you for your suggestion,
butcher,Butcher,
meat_processor,Meat Processor,
abattoir,Abattoir,
feed_supplier,Feed Supplier,
tools_supplier,Tools Supplier,
vet_shop,Veterinary Shop,
vet_services,Veterinary Services,
weight_checker_title,WEIGHT CHECKER,
important_notes_title,Important Notes,
weight_checker_notes,• Heart Girth: Measure the thorax (just behind the front legs) making sure the tape is fit along the body and meets tightly (Point B).\n• Body Length: Measure from the base of the ears to the base of the tail making sure the tape is firm on the body and not lose (Point A).\n• Ensure the pig is standing squarely on level ground for the most accurate result.\n,
converter_title,Converter,
unit_lbs,Lbs,
unit_kgs,Kgs,
weigh_with_tape_title,Weigh with Tape,
weigh_with_tape_subtitle,Estimate weight with measuring tape.,
label_length,Length (%1,
label_girth,Girth (%1,
unit_cm,cm,
unit_in,in,
placeholder_a,A,
placeholder_b,B,
label_estimated_live_weight,Estimated Live Weight,
label_estimated_carcass_weight,Estimated Carcass Weight,
msg_enter_measurements,Enter measurements on diagram to calculate,
pig_diagram_content_description,Pig measurement guide,
weight_format,%1$.1f Kg / %2$.1f Lbs,
estimated_results,Estimated Results,
diag_reset,Reset,
diag_intro,Select the symptoms you observe in your pigs to narrow down potential diseases.,
diag_observed_symptoms,Observed Symptoms,
diag_analyze_btn,Analyze Symptoms,
diag_potential_matches,Potential Matches,
diag_no_matches,No strong matches found based on current symptoms. Please consult a veterinarian for a thorough checkup.,
diag_disclaimer,Disclaimer: This AI tool is powered by veterinary research for educational assistance. It is NOT a substitute for professional veterinary diagnosis.,
diag_match_accuracy,Match Accuracy: %d symptom(s) detected,
diag_prevention_plan,Prevention & Action Plan:,
sg_skin_coat,Skin & Coat,
sg_digestive_stool,Digestive & Stool,
sg_respiratory,Respiratory,
sg_behavioral_nervous,Behavioral & Nervous,
sg_reproduction,Reproduction,
sg_general_limbs,General & Limbs,
sev_low,LOW,
sev_moderate,MODERATE,
sev_high,HIGH,
sev_critical,CRITICAL,
sym_skin_discoloration,Skin Discoloration (Red/Purple),
sym_diamond_lesions,Diamond-shaped Skin Lesions,
sym_itching,Itching,
sym_hair_loss,Hair Loss,
sym_pale_skin,Pale Skin,
sym_jaundice,Jaundice,
sym_skin_crusts,Skin Crusts,
sym_rough_hair,Rough Hair Coat,
sym_sunburn,Sunburn,
sym_ear_necrosis,Ear Necrosis,
sym_blisters_snout_feet,Blisters on Snout/Feet,
sym_diarrhea,Diarrhea,
sym_vomiting,Vomiting,
sym_bloody_diarrhea,Bloody Diarrhea,
sym_blood_in_stool,Blood in Stool,
sym_rectal_prolapse,Rectal Prolapse,
sym_bloat,Bloat,
sym_dehydration,Dehydration,
sym_loss_of_appetite,Loss of Appetite,
sym_weight_loss,Weight Loss,
sym_coughing,Coughing,
sym_difficulty_breathing,Difficulty Breathing,
sym_nasal_discharge,Nasal Discharge,
sym_sneezing,Sneezing,
sym_thumping,Thumping (Abdominal Breathing),
sym_nose_bleeds,Nose Bleeds,
sym_frothing,Frothing at Mouth,
sym_excessive_salivation,Excessive Salivation,
sym_lethargy,Lethargy,
sym_seizures,Seizures,
sym_muscle_stiffness,Muscle Stiffness,
sym_trembling,Trembling,
sym_blindness,Blindness,
sym_paralysis,Paralysis,
sym_incoordination,Incoordination,
sym_circling,Circling,
sym_convulsions,Convulsions,
sym_nervousness,Nervousness,
sym_twitching,Twitching,
sym_tail_biting,Tail Biting,
sym_abortion,Abortion,
sym_infertility,Infertility,
sym_mummified_piglets,Mummified Piglets,
sym_small_litter,Small Litter Size,
sym_swollen_vulva,Swollen Vulva,
sym_enlarged_scrotum,Enlarged Scrotum,
sym_high_fever,High Fever,
sym_lameness,Lameness,
sym_sudden_death,Sudden Death,
sym_swollen_joints,Swollen Joints,
sym_swollen_navel,Swelling of Navel,
sym_leg_weakness,Leg Weakness,
sym_swollen_eyelids,Swollen Eyelids,
sym_stunted_growth,Stunted Growth,
sym_pale_mucous,Pale Mucous Membranes,
sym_bleeding_orifices,Bleeding from Orifices,
sym_watery_diarrhea,Watery Diarrhea,
sym_abscesses,Abscesses,
sym_anemia,Anemia,
sym_thirst,Thirst,
sym_fractures,Fractures,
dis_asf,African Swine Fever (ASF),
dis_asf_desc,A highly contagious and deadly viral disease prevalent in West Africa. No vaccine exists.,
dis_asf_prev,Strict biosecurity and restrict farm access.,
dis_fmd,Foot and Mouth Disease (FMD),
dis_fmd_desc,Viral disease causing blisters on the mouth and feet.,
dis_fmd_prev,Vaccination and movement control.,
dis_prrs,PRRS (Blue Ear),
dis_prrs_desc,Causes respiratory failure and reproductive issues.,
dis_prrs_prev,Biosecurity and herd vaccination.,
dis_erysipelas,Swine Erysipelas,
dis_erysipelas_desc,Bacterial infection causing distinct skin lesions and arthritis.,
dis_erysipelas_prev,Regular vaccination and pen hygiene.,
dis_csf,Classical Swine Fever,
dis_csf_desc,Highly contagious viral disease similar to ASF.,
dis_csf_prev,Vaccination and strict biosecurity.,
dis_anthrax,Anthrax,
dis_anthrax_desc,Serious bacterial disease that can affect humans.,
dis_anthrax_prev,Vaccination and avoid opening carcasses.,
dis_brucellosis,Brucellosis,
dis_brucellosis_desc,Bacterial disease causing reproductive failure.,
dis_brucellosis_prev,"Testing, culling, and sanitation.",
dis_coccidiosis,Coccidiosis,
dis_coccidiosis_desc,Parasitic disease primarily affecting piglets.,
dis_coccidiosis_prev,Farrowing pen hygiene.,
dis_pneumonia,Mycoplasmal Pneumonia,
dis_pneumonia_desc,Chronic respiratory disease leading to poor growth.,
dis_pneumonia_prev,Vaccination and improved ventilation.,
dis_salmonellosis,Salmonellosis,
dis_salmonellosis_desc,Bacterial infection causing severe gut issues.,
dis_salmonellosis_prev,Clean water and hygiene.,
dis_ppv,Porcine Parvovirus (PPV),
dis_ppv_desc,Common cause of reproductive failure in gilts.,
dis_ppv_prev,Vaccination before breeding.,
dis_rhinitis,Atrophic Rhinitis,
dis_rhinitis_desc,Causes distortion of the snout and respiratory issues.,
dis_rhinitis_prev,Vaccination and air quality.,
dis_leptospirosis,Leptospirosis,
dis_leptospirosis_desc,Zoonotic bacterial disease affecting kidneys.,
dis_leptospirosis_prev,Rodent control and vaccination.,
dis_influenza,Swine Influenza,
dis_influenza_desc,Rapidly spreading respiratory infection.,
dis_influenza_prev,Ventilation and biosecurity.,
dis_edema,Edema Disease,
dis_edema_desc,Caused by E. coli toxins in weaned piglets.,
dis_edema_prev,Improved sanitation and diet.,
dis_dysentery,Swine Dysentery,
dis_dysentery_desc,Severe mucohaemorrhagic diarrhea.,
dis_dysentery_prev,Water medication and disinfection.,
dis_mange,Sarcoptic Mange,
dis_mange_desc,Parasitic skin disease causing extreme discomfort.,
dis_mange_prev,Acaricide treatment.,
dis_anemia,Iron Deficiency Anemia,
dis_anemia_desc,Common in indoor piglets without iron supplements.,
dis_anemia_prev,Iron injections at birth.,
dis_ulcers,Gastric Ulcers,
dis_ulcers_desc,Caused by fine feed or stress.,
dis_ulcers_prev,Adjust feed particle size.,
dis_pss,Porcine Stress Syndrome,
dis_pss_desc,Genetic condition triggered by stress.,
dis_pss_prev,Genetic selection and calm handling.,
dis_tge,Transmissible Gastroenteritis (TGE),
dis_tge_desc,Viral disease with high mortality in young piglets.,
dis_tge_prev,Biosecurity.,
dis_pasteurellosis,Pasteurellosis,
dis_pasteurellosis_desc,Bacterial pneumonia.,
dis_pasteurellosis_prev,Antibiotics and ventilation.,
dis_strep,Streptococcus suis,
dis_strep_desc,Bacterial infection causing meningitis.,
dis_strep_prev,Antibiotics and stress reduction.,
dis_mycotoxicosis,Mycotoxicosis,
dis_mycotoxicosis_desc,Caused by mold-contaminated feed.,
dis_mycotoxicosis_prev,Toxin binders and dry storage.,
dis_greasy_pig,Greasy Pig Disease,
dis_greasy_pig_desc,Bacterial infection causing greasy skin lesions.,
dis_greasy_pig_prev,Sanitation and antibiotics.,
dis_pseudorabies,Pseudorabies (Aujeszky's),
dis_pseudorabies_desc,Viral disease affecting nervous and respiratory systems.,
dis_pseudorabies_prev,Vaccination and eradication programs.,
dis_pcv2,Porcine Circovirus (PCV2),
dis_pcv2_desc,Causes wasting and respiratory issues in growers.,
dis_pcv2_prev,Vaccination.,
dis_ped,Porcine Epidemic Diarrhea (PED),
dis_ped_desc,"Similar to TGE, highly fatal to neonates.",
dis_ped_prev,Strict biosecurity.,
dis_je,Japanese Encephalitis,
dis_je_desc,Mosquito-borne viral disease.,
dis_je_prev,Mosquito control and vaccination.,
dis_rabies,Rabies,
dis_rabies_desc,Fatal viral disease usually from bites.,
dis_rabies_prev,Vaccination of pets and wildlife control.,
dis_pox,Swine Pox,
dis_pox_desc,"Viral skin disease, often spread by lice.",
dis_pox_prev,Louse control.,
dis_vs,Vesicular Stomatitis,
dis_vs_desc,Causes blisters; looks like FMD.,
dis_vs_prev,Insect control and quarantine.,
dis_clostridial,Clostridial Enteritis,
dis_clostridial_desc,Bacterial infection causing severe gut damage.,
dis_clostridial_prev,Vaccination of sows and hygiene.,
dis_glassers,Glasser's Disease,
dis_glassers_desc,"Causes inflammation of membranes around heart, lungs, joints.",
dis_glassers_prev,Antibiotics and stress management.,
dis_app,Actinobacillus Pleuropneumonia (APP),
dis_app_desc,Severe bacterial pneumonia.,
dis_app_prev,Antibiotics and improved environment.,
dis_ileitis,Ileitis (Lawsonia),
dis_ileitis_desc,Bacterial infection of the small intestine.,
dis_ileitis_prev,Vaccination and antibiotics.,
dis_tb,Tuberculosis,
dis_tb_desc,Chronic bacterial disease.,
dis_tb_prev,Bird proofing and sanitation.,
dis_tetanus,Tetanus,
dis_tetanus_desc,Bacterial toxin affecting the nervous system.,
dis_tetanus_prev,Sanitation during surgery/castration.,
dis_eperythrozoonosis,Eperythrozoonosis,
dis_eperythrozoonosis_desc,Blood parasite causing anemia.,
dis_eperythrozoonosis_prev,Insect control and clean needles.,
dis_ascaris,Ascaris suum,
dis_ascaris_desc,Internal parasite causing lung and liver damage.,
dis_ascaris_prev,Regular deworming.,
dis_whipworms,Whipworms,
dis_whipworms_desc,Internal parasite in the large intestine.,
dis_whipworms_prev,Deworming and sanitation.,
dis_lungworms,Lungworms,
dis_lungworms_desc,Internal parasite of the lungs.,
dis_lungworms_prev,Earthworm control and deworming.,
dis_kidney_worms,Kidney Worms,
dis_kidney_worms_desc,Internal parasite affecting kidneys and liver.,
dis_kidney_worms_prev,Management and hygiene.,
dis_lice,Swine Lice,
dis_lice_desc,External parasite sucking blood.,
dis_lice_prev,Insecticide treatment.,
dis_ringworm,Ringworm,
dis_ringworm_desc,Fungal skin infection.,
dis_ringworm_prev,Sanitation and topical treatment.,
dis_mulberry_heart,Mulberry Heart Disease,
dis_mulberry_heart_desc,Nutritional deficiency affecting the heart.,
dis_mulberry_heart_prev,Supplementation.,
dis_vit_a,Vitamin A Deficiency,
dis_vit_a_desc,Nutritional deficiency.,
dis_vit_a_prev,Dietary adjustment.,
dis_rickets,Rickets,
dis_rickets_desc,Nutritional deficiency affecting bone growth.,
dis_rickets_prev,Balanced minerals and sunlight.,
dis_salt_poisoning,Salt Poisoning,
dis_salt_poisoning_desc,Caused by lack of water followed by over-consumption.,
dis_salt_poisoning_prev,Constant fresh water access.,
dis_heat_stroke,Heat Stroke,
dis_heat_stroke_desc,Overheating due to poor ventilation or shade.,
dis_heat_stroke_prev,"Ventilation, cooling, and shade.",
dis_rectal_prolapse,Rectal Prolapse,
dis_rectal_prolapse_desc,"Often follows coughing, diarrhea, or cold stress.",
dis_rectal_prolapse_prev,Address primary cause and surgery.,
dis_umbilical_hernia,Umbilical Hernia,
dis_umbilical_hernia_desc,Developmental defect or navel infection.,
dis_umbilical_hernia_prev,Sanitation and genetics.,
dis_scrotal_hernia,Scrotal Hernia,
dis_scrotal_hernia_desc,Genetic developmental defect.,
dis_scrotal_hernia_prev,Genetics and surgical repair.,
dis_splayleg,Splayleg,
dis_splayleg_desc,Piglets born unable to stand with hind legs.,
dis_splayleg_prev,Taping legs and floor traction.,
dis_vulvovaginitis,Vulvovaginitis,
dis_vulvovaginitis_desc,Caused by estrogenic fungal toxins in feed.,
dis_vulvovaginitis_prev,Change feed source.,
dis_seneca,Seneca Valley Virus (SVV),
dis_seneca_desc,Causes blisters similar to FMD.,
dis_seneca_prev,Biosecurity and diagnosis.,
dis_deltacoronavirus,Porcine Deltacoronavirus,
dis_deltacoronavirus_desc,Viral diarrhea in all ages.,
dis_deltacoronavirus_prev,Biosecurity.,
dis_rotavirus,Rotavirus Diarrhea,
